Espécie	SDF	Número de Acesso
Bacillus subtilis (99%)	0285	MH356459
Bacillus subtilis (97%)	0003	MH356289
Bacillus subtilis (97%)	0025	MH569347
Bacillus tequilensis (99%)	0282	MH356456
Bacillus altitudinis (99%)	0017	MH356302
Bacillus altitudinis (99%)	0036	MH356315
Bacillus altitudinis (99%)	0117	MH356369
Bacillus altitudinis (99%)	0153	MH569362
Bacillus altitudinis (97%)	0204	MH356427
Bacillus altitudinis (97%)	0205	MH356428
Bacillus pumillus  (99%)*	0001	MH356287
Bacillus pumilus (100%)	0011	MH356297
Bacillus pumilus (100%)	0034	MH356313
Bacillus pumilus (100%)	0035	MH356314
Bacillus pumilus (100%)	0052	MH356324
Bacillus pumilus (100%)	0060	MH356330
Bacillus pumilus (100%)	0105	MH356364
Bacillus pumilus (100%)	0112	MH356367
Bacillus pumilus (100%)	0113	MH569356
Bacillus pumilus (100%)	0120	MH356372
Bacillus pumilus (100%)	0121	MH356373
Bacillus pumilus (100%)	0123	MH356375
Bacillus pumilus (100%)	0125	MH356376
Bacillus pumilus (100%)	0126	MH356377
Bacillus pumilus (100%)	0130	MH356380
Bacillus pumilus (100%)	0135	MH356385
Bacillus pumilus (100%)	0156	MH356402
Bacillus pumilus (100%)	0157	MH356403
Bacillus pumilus (100%)	0190	MH356419
Bacillus pumilus (100%)	0198	MH356424
Bacillus pumilus (98%)	0071	MH356340
Bacillus pumilus (98%)	0079	MH356345
Bacillus pumilus (98%)	0092	MH356353
Bacillus pumilus (98%)	0114	MH569357
Bacillus pumilus (98%)	0146	MH356394
Bacillus pumilus (98%)	0171	MH569364
Bacillus pumilus (98%)	0173	MH356410
Bacillus pumilus (98%)	0202	MH569373
Bacillus pumilus (99%)	0004	MH356290
Bacillus pumilus (99%)	0044	MH356318
Bacillus pumilus (99%)	0046	MH356319
Bacillus pumilus (99%)	0070	MH356339
Bacillus pumilus (99%)	0087	MH356350
Bacillus pumilus (99%)	0090	MH569352
Bacillus pumilus (99%)	0104	MH356363
Bacillus pumilus (99%)	0115	MH356368
Bacillus pumilus (99%)	0129	MH356379
Bacillus pumilus (99%)	0131	MH356381
Bacillus pumilus (99%)	0132	MH356382
Bacillus pumilus (99%)	0136	MH356386
Bacillus pumilus (99%)	0137	MH356387
Bacillus pumilus (99%)	0141	MH356389
Bacillus pumilus (99%)	0142	MH356390
Bacillus pumilus (99%)	0145	MH356393
Bacillus pumilus (99%)	0148	MH356396
Bacillus pumilus (99%)	0149	MH356397
Bacillus pumilus (99%)	0152	MH356400
Bacillus pumilus (99%)	0154	MH569363
Bacillus pumilus (99%)	0177	MH356413
Bacillus pumilus (99%)	0179	MH356415
Bacillus pumilus (99%)	0187	MH356418
Bacillus pumilus (99%)	0207	MH569375
Bacillus pumilus (99%)	0208	MH569376
Bacillus pumilus (99%)	0230	MH356437
Bacillus pumilus (99%)	0231	MH356438
Bacillus pumilus (99%)	0292	MH356463
Bacillus pumilus (97%)	0026	MH356307
Bacillus pumilus (97%)	0140	MH569361
Bacillus pumilus (97%)	0175	MH569366
Bacillus pumilus (97%)	0201	MH356426
Bacillus pumilus (97%)	0273	MH569397
Bacillus safensis (100%)	0027	MH356308
Bacillus safensis (100%)	0093	MH356354
Bacillus safensis (100%)	0106	MH356365
Bacillus safensis (100%)	0122	MH356374
Bacillus safensis (100%)	0134	MH356384
Bacillus safensis (100%)	0281	MH356455
Bacillus safensis (98%)	0043	MH356317
Bacillus safensis (98%)	0084	MH356348
Bacillus safensis (98%)	0091	MH356352
Bacillus safensis (98%)	0098	MH356359
Bacillus safensis (98%)	0103	MH356362
Bacillus safensis (98%)	0147	MH356395
Bacillus safensis (98%)	0196	MH356422
Bacillus safensis (99%)	0002	MH356288
Bacillus safensis (99%)	0013	MH356298
Bacillus safensis (99%)	0151	MH356399
Bacillus amyloliquefaciens (100%)	0110	MH356366
Bacillus amyloliquefaciens (98%)	0269	MH569394
Bacillus amyloliquefaciens (98%)	0302	MH356471
Bacillus amyloliquefaciens (99%)	0279	MH356453
Bacillus velezensis (100%)	0150	MH356398
Bacillus velezensis (99%)	0280	MH356454
Bacillus velezensis (99%)	0287	MH356461
