Espécie	SDF	Número de Acesso
Bacillus cereus (98%)	0006	MH356292
Bacillus cereus (100%)	0022	MH356306
Bacillus thuringiensis (99%)	0030	MH356311
Bacillus cereus (98%)	0032	MH356312
Bacillus toyonensis (98%)	0053	MH356325
Bacillus cereus (99%)	0061	MH356331
Bacillus thuringiensis (98%)	0085	MH569351
Bacillus anthracis (100%)	0089	MH356351
Bacillus thuringiensis (98%)	0100	MH569353
Bacillus cereus (100%)	0119	MH356371
Bacillus cereus (99%)	0124	MH569359
Bacillus cereus (100%)	0155	MH356401
Bacillus cereus (97%)	0159	MH356404
Bacillus thuringiensis (100%)	0161	MH356406
Bacillus thuringiensis (98%)	0178	MH356414
Bacillus anthracis (100%)	0181	MH569368
Bacillus cereus (98%)	0182	MH569369
Bacillus cereus (99%)	0184	MH356416
Bacillus anthracis (99%)	0186	MH356417
Bacillus cereus (98%)	0194	MH356421
Bacillus anthracis (97%)	0199	MH356425
Bacillus cereus (99%)	0200	MH569372
Bacillus cereus (97%)	0206	MH356429
Bacillus cereus (98%)	0219	MH356432
Bacillus thuringiensis (100%)	0225	MH569381
Bacillus cereus (98%)	0229	MH356436
Bacillus cereus (98%)	0232	MH569383
Bacillus thuringiensis (98%)	0235	MH356440
Bacillus cereus (97%)	0237	MH356442
Bacillus cereus (98%)	0239	MH569384
Bacillus cereus (100%)	0248	MH569388
Bacillus cereus (98%)	0250	MH356446
Bacillus cereus (97%)	0270	MH569395
Bacillus cereus (97%)	0272	MH569396
Bacillus thuringiensis (99%)	0276	MH356450
Bacillus cereus (97%)	0278	MH356452
Bacillus cereus (100%)	0283	MH356457
Bacillus cereus (99%)	0286	MH356460
Bacillus thuringiensis (100%)	0288	MH356462
Bacillus thuringiensis (100%)	0294	MH356464
Bacillus cereus (100%)	0295	MH356465
Bacillus cereus (99%)	0299	MH356468
Bacillus cereus (99%)	0300	MH356469
Bacillus thuringiensis (98%)	0301	MH356470
Bacillus thuringiensis (97%)	0303	MH356472
Bacillus cereus (99%)	0304	MH356473
Bacillus cereus (99%)	0305	MH356474
Bacillus cereus (99%)	0310	MH356477
